Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
1,Bapgo+7254,1605.518200759116,12,10.0,83.3%,1606,+13
-,Nadav253+6419,1594.937666937862,8,7.0,87.5%,1604,+20
-,doejurko+3088,1553.6129110501538,0,0.0,0.0%,1554,0
2,kaiser+8343,1533.2029321018194,16,11.0,68.8%,1558,-28
3,tofuwater+4853,1526.8789879497347,22,14.0,63.6%,1580,-21
4,kayajam+9348,1522.634306599454,29,16.0,55.2%,1540,-20
5,matemato+5004,1496.9981698071558,49,26.0,53.1%,1513,+17
6,Cookies+3700,1487.5550257690932,20,14.0,70.0%,1509,-25
7,Killerstorm17+3440,1482.8777106451284,17,10.0,58.8%,1566,-22
8,Jack432+6277,1471.9131253042092,23,14.0,60.9%,1475,+20
9,Led_Slash+3579,1467.0413976195916,63,30.0,47.6%,1592,+9
10,BennyJ+6079,1465.264596534566,24,13.0,54.2%,1550,-18
11,ShuShuBana+2889,1432.9803074362148,25,12.0,48.0%,1652,-16
12,oshwott2844+9258,1425.454022742922,38,22.0,57.9%,1523,-27
13,Ctfox+5431,1424.1834162913935,13,5.0,38.5%,1473,-27
14,ChippZamoose+906,1402.8056090944174,10,5.0,50.0%,1421,+59
15,Pliskin+7357,1401.431323819797,22,10.0,45.5%,1459,+21
-,Pandapapst+8323,1399.1384744418021,7,4.0,57.1%,1399,+43
-,IMPERATOR+2570,1386.749204669923,0,0.0,0.0%,1387,0
-,Xar149+9374,1385.2558160013664,0,0.0,0.0%,1385,0
-,Manpanzee+265,1381.6165363088705,8,4.0,50.0%,1382,+58
-,VanKaiserman+5269,1381.1577115193043,8,3.0,37.5%,1387,+48
16,Emperia+9282,1378.0202135871227,69,30.0,43.5%,1442,-7
17,pooge+6189,1373.137935565522,15,6.0,40.0%,1419,-8
18,LucianTheFak+3697,1368.4993280509398,135,61.0,45.2%,1538,-9
19,Antiproject+7236,1359.9375307131738,25,9.0,36.0%,1407,-16
20,cringelordirl+3838,1357.6845068764073,46,17.5,38.0%,1418,-14
21,idk123+6079,1356.3809614854924,33,15.0,45.5%,1470,+21
22,Seiza+6137,1352.4870076822374,47,13.0,27.7%,1453,-13
-,tippop+7531,1351.0260723188376,0,0.0,0.0%,1351,0
-,mishaelh1+6045,1350.3904110528943,1,1.0,100.0%,1350,+55
-,BloodMuffin+4386,1350.234180090924,7,3.0,42.9%,1350,+58
-,Mouseman+7870,1345.1431589793688,1,0.0,0.0%,1381,-39
23,PestoEmporium+6690,1342.6428434718148,51,15.0,29.4%,1365,-4
24,uFancyHUH+8404,1342.4963104279698,40,14.0,35.0%,1392,-14
25,Mossfusion+6189,1341.6454396873796,25,9.0,36.0%,1398,-16
-,BareGammon+82,1341.589199620161,0,0.0,0.0%,1342,0
26,Kirien+375,1339.125693647263,44,18.0,40.9%,1407,-11
-,FrancescoBr+4009,1337.6147487733676,0,0.0,0.0%,1338,0
27,swiftsusan+8662,1334.896378591303,27,8.0,29.6%,1445,-14
-,GlandorHooverstein+602,1333.8675033783825,9,4.0,44.4%,1347,-16
28,FavorOfTheRabbits+9523,1332.3025077164245,20,7.0,35.0%,1385,-16
29,Tricholome+4276,1329.698745688784,30,9.0,30.0%,1350,-11
30,Dekiru+4451,1326.0459828701485,29,11.0,37.9%,1414,-12
-,TimidTailwind+2597,1324.8288710595527,0,0.0,0.0%,1325,0
31,Luclid+298,1322.9045169525805,26,9.0,34.6%,1362,-10
32,kurtfisto+6674,1321.7224651996426,31,10.0,32.3%,1351,-9
-,ninjacat536+1220,1320.5685286266423,0,0.0,0.0%,1321,0
-,trollone1993+1106,1319.3876613699424,1,1.0,100.0%,1319,+53
33,KeyserSoze+1044,1316.9546637110325,101,36.0,35.6%,1404,-5
-,time2orush+2871,1316.8928770150842,0,0.0,0.0%,1317,0
-,PokerFace126+7192,1313.799309197159,0,0.0,0.0%,1314,0
-,Gregoola+1424,1313.2016872968707,4,3.0,75.0%,1313,+50
-,Potatosgonnacrushya+428,1312.455217264362,6,3.0,50.0%,1312,+52
-,complexartichoke+1699,1312.2894097128135,0,0.0,0.0%,1312,0
34,DemaRogue+7727,1310.113217973703,77,30.0,39.0%,1423,-7
-,Aeliott+7118,1309.9831035569487,7,3.0,42.9%,1328,-21
-,tjudge+8299,1307.7295391100374,4,2.0,50.0%,1333,-29
-,vinnie+746,1305.8818090156356,0,0.0,0.0%,1306,0
35,Scipio+8842,1305.3529853513292,33,10.0,30.3%,1335,-10
36,0thers1der+5053,1305.3115230136268,17,6.0,35.3%,1322,-8
37,Dumbledore+1135,1304.3200932236166,170,45.0,26.5%,1326,-12
-,Aleph+9548,1303.954583176603,0,0.0,0.0%,1304,0
-,Blurr+1887,1303.223402860547,0,0.0,0.0%,1303,0
-,Silver+6850,1301.6178184372952,0,0.0,0.0%,1302,0
38,DarthPuniceus+9605,1295.4852747603943,26,6.0,23.1%,1421,-14
39,Nefkano+8780,1294.8172608355267,12,3.0,25.0%,1374,-6
-,gord20+7161,1293.7811487246552,1,0.0,0.0%,1311,-20
40,WillRevolt+5749,1293.6902412411223,21,7.0,33.3%,1313,-11
41,NadtyLite+7330,1291.42579786893,130,33.0,25.4%,1379,-3
42,MarquiseDeGyatt+202,1290.2967072709946,43,12.0,27.9%,1290,+33
43,BMPerJMPer+9145,1287.2462474505546,11,4.0,36.4%,1357,-10
-,dindane+250,1286.220623620055,0,0.0,0.0%,1286,0
44,HobGungan+2914,1283.9412836816766,18,6.5,36.1%,1313,-13
45,Valzaan+3564,1282.1291560727182,23,7.0,30.4%,1356,-7
-,AxlPrototype+5016,1280.805898556369,0,0.0,0.0%,1281,0
46,Peppy+6321,1280.5967251536197,11,3.0,27.3%,1309,-14
-,Kmahussier+2186,1277.791001840198,6,1.0,16.7%,1304,-20
-,saintstonet+7390,1276.7045610240273,0,0.0,0.0%,1277,0
-,Mcauthor+181,1275.8098922895758,4,2.0,50.0%,1299,-26
47,Schkitz+8222,1275.6622830535257,79,16.0,20.3%,1336,-5
-,mrkent+9273,1274.5333808828066,1,1.0,100.0%,1275,+72
-,ZachB+8726,1273.9678081088593,8,3.0,37.5%,1299,-27
-,bootle+7207,1271.463309061466,0,0.0,0.0%,1271,0
-,Nudraxon+7640,1270.0241598298417,0,0.0,0.0%,1270,0
48,Rabbitwarlord+1983,1268.063409079786,26,7.0,26.9%,1423,-8
-,lazarus210,1267.8457525714468,0,0.0,0.0%,1268,0
-,Cabbage0642+3776,1267.1537509696554,0,0.0,0.0%,1267,0
-,Plush2+8334,1267.002359848703,1,1.0,100.0%,1267,+71
49,1coolguy+6294,1266.1418979623336,17,4.0,23.5%,1341,+34
-,Shrek+876,1265.7669625682595,1,1.0,100.0%,1266,+63
-,ShowStopperW+549,1264.0021535881065,0,0.0,0.0%,1264,0
50,cliuless+2304,1263.293726719736,19,4.0,21.1%,1321,-6
51,Tolfan,1261.2425503414186,116,35.0,30.2%,1346,-6
-,Mindger+7576,1259.4003809846863,0,0.0,0.0%,1259,0
-,ionou21+8459,1258.097057256085,2,1.0,50.0%,1266,-10
52,CosmicCant+3836,1257.6310547033727,20,5.0,25.0%,1279,-7
53,Tad604+8004,1256.8642321907946,41,11.0,26.8%,1457,-8
-,MrDrouf+3826,1256.3105702195985,0,0.0,0.0%,1256,0
-,Gabobs+7758,1256.0923545220332,7,3.0,42.9%,1273,-20
-,CommonGibbon+5852,1254.9788721715822,3,1.5,50.0%,1279,-27
54,chibimori+1707,1254.6976658364185,15,4.0,26.7%,1316,-9
-,aelisheneithlon+4087,1254.1054474268055,0,0.0,0.0%,1254,0
55,Jasiuńcio+3892,1252.794820149623,15,4.0,26.7%,1284,+28
-,pizzamagican+4983,1252.705135318843,2,1.0,50.0%,1253,+69
-,Nymmer+3243,1252.5707883242815,2,1.0,50.0%,1253,+67
56,Dramsss+1,1251.9046328033317,57,16.0,28.1%,1412,-5
-,Vagabond Glazer+6268,1250.4589299716906,1,0.0,0.0%,1260,-12
57,AcolyteOfRoot+4294,1250.351567466238,12,3.0,25.0%,1298,-12
-,ominouscat+4065,1249.6696099503085,1,1.0,100.0%,1250,+47
-,ImJustExisting+9170,1247.1551829943785,0,0.0,0.0%,1247,0
-,KarmaBurn+1193,1244.9351798734008,0,0.0,0.0%,1245,0
58,SlickAngel+9821,1244.8842497909689,23,7.0,30.4%,1263,+31
59,Wubba+9310,1242.7962798617118,50,13.0,26.0%,1319,-8
-,Mohammad+8142,1240.88535994393,0,0.0,0.0%,1241,0
-,Napalminthebirdsong+5528,1240.3517586193527,0,0.0,0.0%,1240,0
-,Furry0329+6442,1238.1238292630935,1,0.0,0.0%,1243,-8
-,pwarren8590+4047,1237.9730779641504,0,0.0,0.0%,1238,0
60,Waferseeker95+4351,1237.8940761123972,30,9.0,30.0%,1365,-9
-,Cotton+4951,1237.67424224398,3,1.0,33.3%,1250,-15
-,Bengal3+6710,1237.0342396463982,2,0.0,0.0%,1268,-11
-,KuperMeister+8518,1236.3659432909617,4,1.0,25.0%,1289,-17
61,MylesMoose+6850,1236.1429658036363,15,5.0,33.3%,1236,+31
62,DanzigMF+6351,1234.507363741086,28,7.0,25.0%,1279,-9
-,Octavius+8289,1233.7116502008937,0,0.0,0.0%,1234,0
